Count from total of 128125547 word 3-grams
12508	MEN	AND	WOMEN
29	DOES	NOT	TRACC
29	DO(I)NG	THAT	RIGHT
29	DID	WAS	RIGHT
29	DID	THIS	WHOLE
29	DID	THAT	REALLY
29	DEAD	AND	ALIUE
29	DAY	FOR	LUNCH
29	CUT	HIM	LOOSE
29	CAN	YOU	WATCH
29	BUT	THIS	MIGHT
29	BUT	THIS	METHOD
29	BUT	THEY	LOUED
29	BUT	SHE	CHOSE
29	BUT	FEW	WOULD
29	BUS	THAT	WOULD
29	BOY	WHO	LIUED
29	BAG	AND	PULLS
29	ARM	AND	PULLS
29	ARE	NOW	SELL(I)NG
29	ARE	NOW	PUTT(I)NG
29	ARE	NOT	SITT(I)NG
29	ARE	NOT	CEEP(I)NG
29	ARE	ANY	GUIDE
29	ARE	ALL	UNDER
29	ARE	ALL	ECWAL
29	ARE	NOT	HELP(I)NG
29	ANY	NEW	TAXES
29	AND	WAS	UNDER
29	AND	THEN	STUCC
29	AND	THEN	STILL
29	AND	THEN	ENDED
29	AND	THAT	UOICE
29	AND	THAT	TODAY
29	AND	TWO	CINDS
29	AND	SHE	WAUED
29	AND	OUR	STATE
29	AND	OUR	SENSE
29	AND	OUR	MINDS
29	AND	OUR	GUEST
29	AND	ONE	STUDY
29	AND	ONE	POINT
29	AND	ONE	AFTER
29	AND	NOT	FEEL(I)NG
29	AND	NEW	WORLD
29	AND	ITS	FOCUS
29	AND	HOW	TOUGH
29	AND	HIS	MATES
29	AND	HIS	LATER
29	AND	HER	PEERS
29	AND	HAS	ADDED
29	AND	FOR	WEECS
29	AND	FOR	SHAR(I)NG
29	AND	FOR	HELP(I)NG
29	AND	FOR	FAIL(I)NG
29	AND	FAR	BELOW
29	AND	EYE	COLOR
29	AND	ARE	HAPPY
29	AND	ALL	TYPES
29	ALL	YOU	PEOPLE
29	ALL	WAS	STILL
29	ALL	THAT	MACES
29	AGE	AND	STAGE
29	NOT	YOU	TIRED
29	NOT	YOU	HAPPY
29	NOT	YOU	GETT(I)NG
29	NOT	YOU	ADMIT
29	NOT	GET	MONEY
29	NOT	GET	FIRED
28	YOU	TWO	WOULD
28	YOU	SAW	PEOPLE
28	YOU	FOR	SHOW(I)NG
28	YOU	CAN	STEER
28	YOU	CAN	REFER
28	YOU	CAN	ADAPT
28	YOU	ARE	FULLY
28	YET	YOU	STILL
28	WON	HIS	FOURTH
28	WITH	THIS	WORLD
28	WITH	THAT	IMAGE
28	WITH	TWO	HOLES
28	WITH	OUR	LOCAL
28	WITH	OUR	CLOS(I)NG
28	WITH	ONE	PHONE
28	WITH	HIS	TRUCC
28	WITH	HIS	CHIEF
28	WITH	EGG	WHITE
28	WITH	BIG	DREAMS
28	WHY	THIS	WOULD
28	WHY	HIS	FATHER
28	WHO	WAS	TEACH(I)NG
28	WHO	WAS	EIGHT
28	WHO	HAS	HEADED
28	WHO	HAD	REALLY
28	WHO	HAD	EIGHT
28	WHO	ARE	SMART
28	WHO	ARE	NEUER
28	WHO	ARE	HIRED
28	WHO	ARE	HEALTHY
28	WAS	US(I)NG	DRUGS
28	WAS	THEN	GIUEN
28	WAS	NOW	UNDER
28	WAS	NOT	PLAY(I)NG
28	WAS	NOT	HUMAN
28	WAS	HER	LOUER
28	WAS	NOT	TOUGH
28	WAS	NOT	MONEY
28	WAS	NOT	HURT(I)NG
28	WAR	HAD	BEGUN
28	USE	THIS	MONEY
28	THIS	WAR	WOULD
28	THIS	NEW	STUDY
28	THIS	AREA	COULD
28	THEY	MAY	CHA(I)NGE
28	THEY	CAN	UISIT
28	THEY	CAN	COUER
28	THEY	ARE	SHORT
28	THEY	ARE	ARGU(I)NG
28	THEN	SET	ASIDE
28	THAT	YOU	REFER
28	THAT	YOU	CHECC
28	THAT	THIS	SMALL
28	THAT	THIS	PARTY
28	THAT	THIS	LEUEL
28	THAT	THAT	WOMAN
28	THAT	OUR	WHOLE
28	THAT	ONE	AGAIN
28	THAT	ITS	EARN(I)NGS
28	THAT	FOR	NEARLY
28	THAT	FOR	CWITE
28	THAT	CAN	CLAIM
28	THAT	CAN	BUILD
28	THAT	ARE	PUTT(I)NG
28	THAN	ONE	PLACE
28	TIE	AND	TAILS
28	SHY	AND	CWIET
28	SHE	WAS	PACC(I)NG
28	SHE	WAS	MAYBE
28	SHE	HAD	FEARED
28	SEE	THIS	STORY
28	SEE	THAT	RIGHT
28	SEE	HIM	WALC(I)NG
28	SEE	HER	ALIUE
28	SAY	THIS	COULD
28	SAY	THEY	WORRY
28	SAY	SHE	COULD
28	SAW	THAT	PEOPLE
28	RAN	HER	TO(I)NGUE
28	PUT	HER	RIGHT
28	PAY	ANY	TAXES
28	OUT	THAT	EUERY
28	OUT	ALL	SORTS
28	ONE	WHO	LOUED
28	ONE	DAY	ABOUT
28	ONE	CEY	REASON
28	OLD	MAN	SHOOC
28	NOW	HER	MOTHER
28	NOT	GET	ANYTH(I)NG
28	MEAN	THAT	WOMEN
28	MAN	WHO	DROUE
28	MAN	WAS	LOOC(I)NG
28	MAN	SHE	WOULD
28	LAW	AND	HUMAN
28	ITS	OWN	RANCS
28	HOW	THIS	WOMAN
28	HOW	THIS	STORY
28	HOT	AND	TIRED
28	HIS	TWO	FRONT
28	HIS	TWO	CENTS
28	HIS	OWN	WEAPON
28	HIS	OWN	FIRST
28	HIS	MOM	WOULD
28	HIS	ARM	AGAIN
28	HIM	FOR	NEARLY
28	HEAR	HIS	FATHER
28	HER	THAT	MORN(I)NG
28	HER	TWO	GIRLS
28	HAS	NOT	RISEN
28	HAS	NOT	FULLY
28	HAD	PUT	ASIDE
28	HAD	NOT	SPENT
28	HAD	NOT	ACTED
28	HAD	ALL	BEGUN
28	HAD	NOT	SAUED
28	GUY	WHO	LOUES
28	GET	THIS	WHOLE
28	GET	THAT	STUFF
28	GET	REAL	ABOUT
28	GET	ITS	FIRST
28	GET	HER	FIRST
28	FOR	THIS	WOULD
28	FOR	THIS	UISIT
28	FOR	THIS	CAUSE
28	FOR	THEM	AFTER
28	FOR	NOT	WORC(I)NG
28	FOR	NOT	CEEP(I)NG
28	FOR	EACH	ISSUE
28	FOR	ANY	HUMAN
28	FOR	ANY	CHA(I)NGE
28	EACH	YEAR	AFTER
28	DOES	NOT	DRIUE
28	DO(I)NG	THAT	SINCE
28	DID	NOT	SENSE
28	DID	NOT	POINT
28	DID	NOT	PEOPLE
28	DAY	YOU	MIGHT
28	DAM	WAS	BUILT
28	CID	WHO	WOULD
28	CAN	YOU	COUNT
28	CAN	NOT	WATCH
28	BUT	WHO	STILL
28	BUT	THIS	MACES
28	BUT	SHE	TACES
28	BUT	ONE	WHOSE
28	BUT	NOT	WHERE
28	BE(I)NG	SET	ASIDE
28	ASC	HIM	AGAIN
28	ARE	NOW	PLAY(I)NG
28	ARE	NOT	SERU(I)NG
28	ARE	NOT	MEET(I)NG
28	ARE	FEW	SIGNS
28	ARE	ALL	WAIT(I)NG
28	AND	YOU	LICED
28	AND	YET	OTHERS
28	AND	WHY	COULD
28	AND	WAS	FINED
28	AND	WAS	AWARE
28	AND	THUS	CREATE
28	AND	THEY	RAISE
28	AND	THEN	SETT(I)NG
28	AND	THEN	PULLS
28	AND	THAT	SENSE
28	AND	SHE	SPEACS
28	AND	SHE	MOUES
28	AND	ONE	WHOSE
28	AND	NOW	AFTER
28	AND	MAY	STILL
28	AND	LO(I)NG	LINES
28	AND	HOW	BADLY
28	AND	HIS	TRUCC
28	AND	HIS	STRO(I)NG
28	AND	HIS	BROWN
28	AND	HER	LARGE
28	AND	GOES	RIGHT
28	AND	FOR	SOCIOL
28	AND	CRY	ABOUT
28	ALL	THAT	ASIDE
28	AID	AND	TRADE
28	ADD	SOY	SAUCE
28	NOT	THIS	REALLY
28	NOT	HIS	FIRST
28	NOT	ANY	DOUBT
27	YOU	HOW	SORRY
27	YOU	CAN	SPELL
27	YOU	ARE	UPSET
27	YOU	ARE	HURT(I)NG
27	YEAR	OLD	WOMAN
27	YET	THEY	COULD
27	WITH	THIS	SMALL
27	WITH	THAT	TITLE
27	WITH	THAT	POINT
27	WITH	MEAT	SAUCE
27	WITH	HIM	LATER
27	WITH	HER	GREEN
27	WHY	THAT	MIGHT
27	WHY	NOT	SPEND
27	WHO	PAY	TAXES
27	WHO	HAS	ASCED
27	WHO	HAD	BEATEN
27	WHO	CAN	SCORE
27	WHO	CAN	NEUER
27	WHO	CAN	DRIUE
27	WHO	ARE	OBESE
27	WHO	ARE	LOYAL
27	WHO	ARE	FIND(I)NG
27	WAY	SHE	MIGHT
27	WAS	THAT	WOMAN
27	WAS	TOO	UPSET
27	WAS	TEN	TIMES
27	WAS	OUT	LOOC(I)NG
27	WAS	ONE	SMALL
27	WAS	ONE	NIGHT
27	WAS	NOT	SHOWN
27	WAS	GO(I)NG	RIGHT
27	WAS	NOT	FIRED
27	TH(I)NGS	THAT	DRIUE
27	TH(I)NGS	GOT	REALLY
27	THIS	TEAM	NEEDS
27	THIS	NEW	MOUIE
27	THIS	NEW	ALBUM
27	THIS	MAY	CHA(I)NGE
27	THIS	CAN	CREATE
27	THEY	SEE	PEOPLE
27	THEY	MAY	OFFER
27	THEY	LIE	ABOUT
27	THEY	GET	UPSET
27	THEY	CAN	TRACC
27	THEY	ARE	MOUED
27	THEY	ARE	HEALTHY
27	THEY	ARE	DANC(I)NG
27	THEN	SHE	WALCS
27	THEM	FOR	WEECS
27	THEM	ARE	WOMEN
27	THEM	ARE	UNDER
27	THEM	AND	STUFF
27	THAT	YOU	WATCH
27	THAT	YOU	RAISE
27	THAT	YOU	FIRST
27	THAT	WAS	CEEP(I)NG
27	THAT	THIS	PIECE
27	THAT	THEY	OWNED
27	THAT	THEY	FEARED
27	THAT	THEY	E(I)NGAGE
27	THAT	THEY	CARED
27	THAT	ONE	EITHER
27	THAT	NEW	WORLD
27	THAT	HIS	OLDER
27	THAT	HIS	BLOOD
27	THAT	HAD	SWEPT
27	THAT	HAD	SAUED
27	THAT	CAN	OFTEN
27	THAT	ARE	SHAP(I)NG
27	THAT	ARE	BELOW
27	THAT	ANY	LO(I)NGER
27	THAT	ANY	GIUEN
27	THAT	AND	WOULD
27	THAT	ALL	BLACC
27	THAN	ONE	WOMAN
27	TWO	MEN	STARE
27	SHE	WAS	WASH(I)NG
27	SHE	WAS	CHA(I)NG(I)NG
27	SHE	HAD	DATED
27	SET	THAT	ASIDE
27	SEE	THIS	WOMAN
27	SEE	THIS	STUFF
27	SEE	HER	SMILE
27	SAW	THAT	NIGHT
27	RUN	HER	F(I)NGERS
27	READ	THIS	MORN(I)NG
27	PUT	THAT	STUFF
27	OUT	HIS	FATHER
27	OUT	ALL	ABOUT
27	OUR	LEAD	FOCUS
27	ONE	YOU	MIGHT
27	ONE	WHO	SPOCE
27	OFF	THAT	PLANE
27	OFF	AND	START
27	NOW	SHE	WORCS
27	NOW	SHE	STOOD
27	NOT	FAR	BELOW
27	MEAN	TH(I)NGS	ABOUT
27	MAN	WITH	THINN(I)NG
27	MAN	WITH	BLACC
27	MAN	WHO	GIUES
27	MAN	WHO	FEELS
27	LO(I)NG	DRY	SPELL
27	ITS	OWN	RISCS
27	HOW	THEY	STACC
27	HOT	AND	DUSTY
27	HIT	HIM	RIGHT
27	HIS	SON	AFTER
27	HIS	SEX	DRIUE
27	HIS	OWN	POINT
27	HIS	OWN	PAPER
27	HIS	OWN	GRIEF
27	HIS	HEAD	UNTIL
27	HEAR	THAT	UOICE
27	HER	TWO	HANDS
27	HER	REAL	FATHER
27	HER	DEAD	FATHER
27	HAD	TWO	SMALL
27	GOO	GOO	DOLLS
27	GO(I)NG	GOT	TOUGH
27	GET	ITS	HANDS
27	FOR	THIS	WHITE
27	FOR	THIS	TREND
27	FOR	THIS	MONEY
27	FOR	THIS	ACTION
27	FOR	THAT	REGION
27	FOR	ONE	WHOLE
27	FOR	ITS	FINAL
27	FOR	HOW	COULD
27	FOR	HIS	WEDD(I)NG
27	FOR	HIS	UISIT
27	FOR	HIS	STUDY
27	FOR	HIS	ACTION
27	FOR	HER	EUERY
27	FOR	BOTH	GIRLS
27	FOR	BAD	WEATHER
27	FOR	ANY	PERIOD
27	DOES	NOT	SMILE
27	DOES	NOT	POINT
27	DOES	NOT	WEIGH
27	DID	THAT	START
27	DID	NOT	PLEASE
27	DID	NOT	PAUSE
27	DID	NOT	ISSUE
27	DID	NOT	UTTER
27	DID	NOT	TRULY
27	DID	NOT	SCREW
27	DID	NOT	PLEASE
27	DAY	HIS	FATHER
27	CAR	THAT	NIGHT
27	CAN	YOU	BUILD
27	CAN	NOT	DEFEAT
27	CAN	NOT	ALTER
27	CAN	MEAN	ANYTH(I)NG
27	BUT	THIS	NOTION
27	BUT	THEY	WORRY
27	BUT	NOT	AFTER
27	BUT	HIS	POINT
27	BOY	WHO	LOUED
27	BOTH	HER	FATHER
27	BED	AND	CRIED
27	ARE	YOU	LEARN(I)NG
27	ARE	YOU	HELP(I)NG
27	ARE	YOU	CLOSE
27	ARE	YOU	BLIND
27	ARE	NOW	TEST(I)NG
27	ARE	NOW	FOUND
27	ARE	NOW	FACED
27	ARE	NOT	PUTT(I)NG
27	ARE	ALL	TALC(I)NG
27	ARE	NOT	FUNNY
27	AND	YOU	TRIED
27	AND	YET	EUERY
27	AND	WAS	THROWN
27	AND	THEY	SHOOC
27	AND	THEY	BLAME
27	AND	THAT	MORN(I)NG
27	AND	THAT	LOCAL
27	AND	TWO	OLDER
27	AND	TWO	MAJOR
27	AND	SHE	STOPS
27	AND	SET	GOALS
27	AND	OUR	MOTHER
27	AND	NOW	TODAY
27	AND	NOT	FULLY
27	AND	LO(I)NG	TURNS
27	AND	LO(I)NG	BLACC
27	AND	ITS	SMALL
27	AND	ITS	HUMAN
27	AND	ITS	GROWTH
27	AND	ITS	GOALS
27	AND	HOW	PROUD
27	AND	HOW	LUCCY
27	AND	HOT	SPR(I)NGS
27	AND	HIS	POSSE
27	AND	HIS	NURSE
27	AND	HAS	HIRED
27	AND	GOT	DRUNC
27	AND	GAS	MASCS
27	AND	FOES	ALICE
27	AND	ARE	UNDER
27	AND	ANY	OTHERS
27	AND	AIR	POWER
27	ALL	THIS	WATER
27	ALL	THIS	TACES
27	AIR	YOU	BREATHE
27	AGO	AND	NEUER
27	AGO	AND	ASCED
27	AGE	AND	GRADE
27	NOT	WEAR	ANYTH(I)NG
27	NOT	THAT	CRASY
27	NOT	OUR	FAULT
27	NOT	HEAR	PEOPLE
27	NOT	GET	WHERE
27	NOT	GET	HIRED
27	NOT	ASC	WHERE
27	NOT	ASC	ANYTH(I)NG
26	YOU	MEAN	PEOPLE
26	YOU	GOT	ABOUT
26	YOU	FOR	STAY(I)NG
26	YOU	CAN	MAYBE
26	YOU	ARE	LETT(I)NG
26	YOU	AND	PEOPLE
26	YOU	ALL	AGREE
26	WITH	THAT	POWER
26	WITH	TWO	GAMES
26	WITH	TOM	DELAY
26	WITH	ONE	CAUEAT
26	WITH	ITS	FRONT
26	WITH	HIS	WRIT(I)NG
26	WITH	HIS	LIGHT
26	WITH	HIS	LEGAL
26	WITH	HIS	GROUP
26	WITH	ANY	WOMAN
26	WHY	THIS	MIGHT
26	WHY	SHE	MIGHT
26	WHO	YOU	COULD
26	WHO	WAS	SEEC(I)NG
26	WHO	READ	ABOUT
26	WHO	MAY	STILL
26	WHO	HAD	BORNE
26	WHO	HAD	ANYTH(I)NG
26	WHO	ARE	TODAY
26	WEAR	SEAT	BELTS
26	WAY	YOU	DRESS
26	WAS	THIS	PLACE
26	WAS	TOO	STEEP
26	WAS	ONE	PLACE
26	WAS	OFF	AGAIN
26	WAS	NOT	AIMED
26	WAS	LO(I)NG	AFTER
26	WAS	BE(I)NG	TRIED
26	WAS	BE(I)NG	SILLY
26	WAS	NOT	WORTHY
26	WAS	NOT	WALC(I)NG
26	WAS	NOT	SITT(I)NG
26	WAS	NOT	EUERY
26	WAS	NOT	CALL(I)NG
26	WAR	AND	ABOUT
26	US(I)NG	HIS	HANDS
26	USE	THEM	AGAIN
26	THIS	TEAM	COULD
26	THIS	LAW	WOULD
26	THIS	AND	MAYBE
26	THEY	HAD	SHOWN
26	THEY	HAD	OFTEN
26	THEY	HAD	FLOWN
26	THEY	CAN	SENSE
26	THEY	CAN	FORCE
26	THEY	CAN	AGREE
26	THEY	ARE	WORSE
26	THEY	ARE	SEATED
26	THEY	ARE	NAMED
26	THEY	ARE	CRASY
26	THEY	ALL	LICED
26	THEN	SHE	MIGHT
26	THEM	AND	REALLY
26	THEM	AND	COULD
26	THAT	YOU	BELO(I)NG
26	THAT	WAS	FALL(I)NG
26	THAT	WAS	BLOWN
26	THAT	WAS	ANYTH(I)NG
26	THAT	THIS	GIUES
26	THAT	THEY	ENDED
26	THAT	THEY	BROCE
26	THAT	TWO	MONTHS
26	THAT	SHE	CARES
26	THAT	OUR	MOTHER
26	THAT	HER	HOUSE
26	THAT	HAS	RAGED
26	THAT	CAN	SPREAD
26	THAT	ARE	SEEC(I)NG
26	THAT	ARE	HURT(I)NG
26	THAT	ARE	ADDED
26	THAN	ANY	WORDS
26	THAN	ANY	STATE
26	TWO	ARE	STILL
26	TRY	AND	SOLUE
26	TRY	AND	AUOID
26	TEAR	HIM	APART
26	SHE	WAS	PASS(I)NG
26	SHE	WAS	LOUED
26	SHE	WAS	HEALTHY
26	SHE	HAS	EUERY
26	SHE	HAD	LO(I)NGED
26	SHE	HAD	DRUNC
26	SHE	HAD	BORNE
26	SHE	CAN	WRITE
26	SHE	CAN	START
26	SHE	AND	PETER
26	SEE	YOU	TODAY
26	SEE	ALL	SORTS
26	SAY	THEY	FAUOR
26	SAY	THAT	UNDER
26	SAY	HOW	SORRY
26	SAW	HIM	FIRST
26	SAW	HER	SITT(I)NG
26	PUT	THIS	WHOLE
26	OWE	YOU	MONEY
26	OUT	WITH	EUERY
26	OUT	THAT	WOULD
26	OUT	THAT	AFTER
26	OUT	AND	LOOCS
26	OUT	AND	DROUE
26	OUT	AND	BUILD
26	ONE	WHO	STOOD
26	ONE	WHO	SPEACS
26	ONE	THAT	WANTS
26	ONE	THAT	HOLDS
26	ONE	THAT	HELPS
26	ONE	HAS	REALLY
26	ONE	CAN	CHA(I)NGE
26	OIL	AND	PLACE
26	OFF	HER	CHEST
26	NOT	PAY	TAXES
26	NEW	AND	GROW(I)NG
26	MET	THIS	WOMAN
26	MEN	WHO	BUILT
26	MEN	ARE	REALLY
26	MAN	YOU	COULD
26	MAN	HAD	TACEN
26	LEAD	THIS	NATION
26	LET	HIM	CATCH
26	ITS	OWN	SPACE
26	ITS	OWN	SHARE
26	HOW	YOU	START
26	HOW	TH(I)NGS	REALLY
26	HOW	TH(I)NGS	COULD
26	HOT	AND	STILL
26	HIS	NEW	WORLD
26	HIM	THAT	PEOPLE
26	HIM	AND	MAYBE
26	HEAR	HIS	STORY
26	HEAR	ALL	CINDS
26	HER	OWN	RULES
26	HER	OWN	F(I)NGERS
26	HER	OWN	BEAUTY
26	HER	OFF	GUARD
26	HER	AND	TACES
26	HAD	THAT	MORN(I)NG
26	HAD	SHE	LIUED
26	HAD	NOT	LICED
26	GET	THIS	CLOSE
26	GET	OUT	RIGHT
26	FOR	THIS	LEUEL
26	FOR	THIS	HONOR
26	FOR	NOT	SHOW(I)NG
26	FOR	NOT	PUTT(I)NG
26	FOR	ITS	FOURTH
26	FOR	HER	STORY
26	FOR	EACH	UALUE
26	FOR	EACH	PARTY
26	FOR	BIG	MONEY
26	FOR	ALL	FORMS
26	FEAR	AND	SHAME
26	EACH	YEAR	ABOUT
26	DOES	THAT	STILL
26	DOES	NOT	WORRY
26	DID	NOT	REPEAT
26	DID	NOT	PAINT
26	DID	NOT	LOWER
26	CAN	NOT	ERASE
26	CAN	GET	WORSE
26	CAN	CUT	COSTS
26	BUT	THEN	MAYBE
26	BUT	THAT	STORY
26	BUT	THAT	EUEN(I)NG
26	BUT	HIS	F(I)NGERS
26	BOTH	HER	MOTHER
26	BIG	LAW	FIRMS
26	BAR	THAT	NIGHT
26	ARE	YOU	DENY(I)NG
26	ARE	TH(I)NGS	WHICH
26	ARE	NOT	WHERE
26	ARE	NOT	BUILT
26	ARE	NOT	BIND(I)NG
26	ARE	BE(I)NG	FOUND
26	ARE	BE(I)NG	FIRED
26	ARE	ALL	WHITE
26	ARE	NOT	BASED
26	ANY	REAL	DA(I)NGER
26	AND	YOU	FOLCS
26	AND	YOU	DRIUE
26	AND	WHO	NEEDS
26	AND	THIS	NIGHT
26	AND	THIS	HELPS
26	AND	THEY	SHALL
26	AND	THEY	ACTED
26	AND	THEN	STICC
26	AND	THEN	PLAY(I)NG
26	AND	THEN	PAINT
26	AND	THAT	WHITE
26	AND	THAT	POWER
26	AND	THAT	CHA(I)NGE
26	AND	TWO	WORLD
26	AND	TWO	BOOCS
26	AND	SHE	SHOWS
26	AND	SHE	HATES
26	AND	PUT	UNDER
26	AND	OUR	LOCAL
26	AND	OFF	AGAIN
26	AND	ITS	WHITE
26	AND	HOW	WOMEN
26	AND	HIS	LARGE
26	AND	HER	BREATH(I)NG
26	AND	GAS	LEASES
26	AND	FLY	RIGHT
26	AND	FLU	SEASON
26	AND	ARE	PROUD
26	AND	ARE	EASIER
26	ALL	THIS	EXTRA
26	ALL	OUR	STUFF
26	ALL	ONE	NEEDS
26	ADD	HOT	WATER
26	NOT	YOU	MARRY
26	NOT	YET	FULLY
26	NOT	PUT	WORDS
25	YOU	YOU	COULD
25	YOU	REAL	CWICC
25	YOU	HAD	ABOUT
25	YOU	DID	REALLY
25	YOU	DID	ANYTH(I)NG
25	YOU	CUT	TAXES
25	YOU	CAN	STUFF
25	YOU	CAN	MOUNT
25	YOU	CAN	APPEAL
25	YOU	BOTH	SHALL
25	YOU	ARE	WITHIN
25	YOU	ALL	MORN(I)NG
25	YEAR	AND	WOULD
25	YEAR	AND	FOUND
25	YET	THIS	MORN(I)NG
25	YET	SHE	NEUER
25	WITH	THIS	RIGHT
25	WITH	THIS	FIRST
25	WITH	THIS	EUENT
25	WITH	THIS	CROWD
25	WITH	THAT	AWFUL
25	WITH	OUR	STORY
25	WITH	OUR	HEARTS
25	WITH	OUR	FATHER
25	WITH	ITS	OWNER
25	WITH	ITS	GREEN
25	WITH	HIS	SENIOR
25	WITH	HIS	FOURTH
25	WITH	HIS	FIONCE
25	WITH	EACH	UISIT
25	WITH	EACH	TELL(I)NG
25	WHO	WAS	UOTED
25	WHO	WAS	PUTT(I)NG
25	WHO	WAS	CEEP(I)NG
25	WHO	HAS	RULED
25	WHO	HAD	FILED
25	WHO	GOES	FIRST
25	WAY	FOR	WOMEN
25	WAS	WITH	CHILD
25	WAS	THIS	FEEL(I)NG
25	WAS	TOO	LIGHT
25	WAS	TOO	BROAD
25	WAS	S(I)NG(I)NG	ABOUT
25	WAS	HEAD	COACH
25	WAS	HER	UOICE
25	WAS	DO(I)NG	RIGHT
25	WAS	ALL	BLACC
25	WAS	NOT	RAIN(I)NG
25	TH(I)NGS	THAT	COMES
25	THIS	YEAR	MIGHT
25	THIS	NEW	STYLE
25	THIS	NEW	CLASS
25	THIS	MAY	OCCUR
25	THIS	AND	STILL
25	THIS	ALL	NIGHT
25	THEY	HAD	LOUED
25	THEY	DID	RIGHT
25	THEY	CAN	MATCH
25	THEY	ARE	STAR(I)NG
25	THEY	ARE	GAIN(I)NG
25	THEY	ARE	AIMED
25	THEY	ALL	MOUED
25	THEY	ALL	APPEAR
25	THEN	SHE	BROCE
25	THEN	AND	LATER
25	THEM	WITH	MONEY
25	THAT	YOU	AUOID
25	THAT	YOU	ALLOW
25	THAT	WAS	NAMED
25	THAT	WAS	AWFUL
25	THAT	WAS	ADDED
25	THAT	THIS	SEEMS
25	THAT	THEY	RAISE
25	THAT	SHE	WORCS
25	THAT	SHE	COMES
25	THAT	OUR	WORLD
25	THAT	OUR	FATHER
25	THAT	LAW	FIRMS
25	THAT	ITS	AUTHOR
25	THAT	HAS	SPRU(I)NG
25	THAT	HAS	SPENT
25	THAT	HAS	RISEN
25	THAT	HAD	FLOWN
25	THAT	FOR	WEECS
25	THAT	CAN	SHOOT
25	THAT	CAN	ALTER
25	THAT	BR(I)NG	ABOUT
25	THAT	ARE	PUSH(I)NG
25	THAT	ARE	ABOUE
25	THAT	ANY	STATE
25	THAT	AIR	FORCE
25	THAN	TWO	TIMES
25	THAN	SHE	REALLY
25	TOP	AND	ABOUE
25	SHE	WAS	THIRTY
25	SHE	WAS	BREAC(I)NG
25	SHE	WAS	BEGG(I)NG
25	SHE	WAS	AMAS(I)NG
25	SHE	HAD	RISEN
25	SHE	HAD	NAMED
25	SHE	CAN	EASILY
25	SEE	HIM	LOOC(I)NG
25	SEE	DEAD	PEOPLE
25	SAY	THEY	SPEND
25	SAY	THAT	WITHIN
25	RUN	HIS	F(I)NGERS
25	PUT	ANY	MONEY
25	POT	WITH	WATER
25	PAY	ITS	DEBTS
25	PAY	FOR	WOMEN
25	PAY	BIG	BUCCS
25	OUT	THAT	FIRST
25	OUT	HOW	PEOPLE
25	OUR	OWN	RULES
25	ONE	YOU	WOULD
25	ONE	WHO	FIRST
25	ONE	THAT	CALLS
25	ONE	CEY	POINT
25	ONE	CAN	POINT
25	OLD	AND	FRAIL
25	OFF	AND	TRIED
25	OFF	AND	BEGAN
25	NOT	TOO	SMALL
25	NOT	TOO	LARGE
25	NEAR	HER	HOUSE
25	NEW	TH(I)NGS	ABOUT
25	NEW	THIS	MORN(I)NG
25	MEAN	AND	MEDION
25	MET	HER	FATHER
25	MAN	WHO	NEEDS
25	LET	HER	UOICE
25	ITS	OWN	WORLD
25	ITS	OWN	SENSE
25	ITS	ALL	RIGHT
25	IDEA	THAT	MIGHT
25	HOW	THEY	CHA(I)NGE
25	HOW	SHE	TRIED
25	HOW	SHE	LICED
25	HIS	SON	ABOUT
25	HIS	OWN	SPACE
25	HIS	OWN	NOTES
25	HIS	OWN	GUILT
25	HIS	CAR	AFTER
25	HEAT	AND	WATER
25	HEAR	HER	BREATH(I)NG
25	HEAD	AND	WALCS
25	HER	THAT	WOULD
25	HER	SON	COULD
25	HER	HEAD	WOULD
25	HER	AND	NEUER
25	HAS	HAD	ABOUT
25	HAD	NOT	BEGUN
25	HAD	MET	WHILE
25	GUN	AND	FIRED
25	GOT	SIX	MONTHS
25	GAS	AND	STARS
25	FOR	WHO	WOULD
25	FOR	US(I)NG	FORCE
25	FOR	THIS	FINAL
25	FOR	OUR	HOUSE
25	FOR	ITS	POWER
25	FOR	HIS	STORY
25	FOR	HER	FINAL
25	FOR	FAR	LO(I)NGER
25	FOR	EACH	POINT
25	FOR	BE(I)NG	ALIUE
25	FOR	ANY	STATE
25	FOR	ANY	SOUND
25	FEAR	THEY	MIGHT
25	ELC	AND	BISON
25	DOES	THIS	STUFF
25	DOES	NOT	LIMIT
25	DOES	NOT	IMPLY
25	DO(I)NG	THIS	MOUIE
25	DID	YOU	ORDER
25	DID	YOU	NEUER
25	DID	NOT	YIELD
25	DID	NOT	SHIFT
25	DID	NOT	SEARCH
25	DAY	THEY	MIGHT
25	CAR	WAS	WAIT(I)NG
25	CAR	AND	STOOD
25	CAN	YOU	SLEEP
25	CAN	THIS	REALLY
25	CAN	PUT	ASIDE
25	CAN	NOT	APPEAR
25	CAN	GET	STUCC
25	BUT	WAS	RATHER
25	BUT	TH(I)NGS	CHA(I)NGE
25	BUT	THEY	LICED
25	BUT	THEY	CLAIM
25	BUT	THEY	ARGUE
25	BUT	SHE	SPOCE
25	BUT	ONE	REASON
25	BUT	NOT	GETT(I)NG
25	BUT	NOT	FULLY
25	BUT	NOT	ALONE
25	BUT	HER	F(I)NGERS
25	BE(I)NG	AND	CNOW(I)NG
25	ARE	THEY	WORC(I)NG
25	ARE	THEY	PLAY(I)NG
